result_id;timestamp;survey_id;question_id;answer
e90a5b41-3a7e-4f1e-b6db-09a9c2af15c8;2026-07-09T07:53:55.548413Z;ask_alma_1783532199770;q1;"[""bibliothek""]"
e90a5b41-3a7e-4f1e-b6db-09a9c2af15c8;2026-07-09T07:53:55.548413Z;ask_alma_1783532199770;q2;4
d28e84ec-70df-493e-b551-c4f7d15db3df;2026-07-09T08:09:44.495794Z;ask_alma_1783532199770;q1;"[""wlan"",""mensa_app""]"
d28e84ec-70df-493e-b551-c4f7d15db3df;2026-07-09T08:09:44.495794Z;ask_alma_1783532199770;q2;2
c79c3129-02f2-4eb9-83d3-95eb31f7ff5c;2026-07-09T08:14:27.490038Z;ask_alma_1783532199770;q1;"[""wlan""]"
c79c3129-02f2-4eb9-83d3-95eb31f7ff5c;2026-07-09T08:14:27.490038Z;ask_alma_1783532199770;q2;3
9fba7313-3b43-49c4-b326-0214e38c7f0e;2026-07-09T08:17:50.493808Z;ask_alma_1783532199770;q1;"[""wlan"",""mensa_app""]"
9fba7313-3b43-49c4-b326-0214e38c7f0e;2026-07-09T08:17:50.493808Z;ask_alma_1783532199770;q2;3
8bdf8e62-773f-47de-a079-285bc2de794d;2026-07-09T08:18:55.894853Z;ask_alma_1783532199770;q1;"[""wlan"",""mensa_app""]"
8bdf8e62-773f-47de-a079-285bc2de794d;2026-07-09T08:18:55.894853Z;ask_alma_1783532199770;q2;3
a123e21c-0876-4213-805f-cfc279c5f3b1;2026-07-09T09:13:42.237457Z;ask_alma_1783532199770;q1;"[""wlan"",""mensa_app""]"
a123e21c-0876-4213-805f-cfc279c5f3b1;2026-07-09T09:13:42.237457Z;ask_alma_1783532199770;q2;2
4c0b8141-fe47-48a6-8dbc-1c358e6a1b20;2026-07-09T09:21:22.793324Z;ask_alma_1783532199770;q1;"[""wlan"",""mensa_app""]"
4c0b8141-fe47-48a6-8dbc-1c358e6a1b20;2026-07-09T09:21:22.793324Z;ask_alma_1783532199770;q2;2
